File;Category;SubCategory;SubSubCategory;Key;En;Es
nutribotMessages;;;;title;Food and Nutrition Finder;Ayudante de nutrición
nutribotMessages;;;;recommendedFor(String petName);Recommended for $petName;# MISSING: Recommended for $petName
nutribotMessages;;;;primaryFood;Primary food;# MISSING: Primary food
nutribotMessages;;;;treat;Treat;# MISSING: Treat
nutribotMessages;;;;buyTreat;Buy now;# MISSING: Buy now
nutribotMessages;;;;treatInfo;Product Information;# MISSING: Product Information
nutribotMessages;;;;treatIngredients;Ingredients;# MISSING: Ingredients
nutribotMessages;;;;reportTitle;Nutrition recommendation;Nutrición recomendación
nutribotMessages;;;;readFullDescription;Read More;Leer más
nutribotMessages;;;;readShortDescription;Read Less;Leer menos
nutribotMessages;botMessages;;;init(String userName);Hello <b>$userName</b>! I’m the Nutrition Helper.\nBefore I can help you I’ll need a little info.;¡Hola, <b>$userName</b>! Soy el ayudante de nutrición.\nAntes de poder ayudarte, necesitaré un poco de información.
nutribotMessages;botMessages;;;askQuestionsProbeStart(String petName);Ok, for <b>$petName</b>. Great. Let’s start by exploring some key nutrition areas.;Vale, para <b>$petName</b>. Excelente. Comencemos explorando algunas áreas clave de nutrición.
nutribotMessages;botMessages;;;askCeliac(String petName);More specifically, does <b>$petName</b> need a wheat-free or corn-free diet?;Más específicamente, ¿<b>$petName</b> necesita una dieta libre de trigo o maíz?
nutribotMessages;botMessages;;;askHypoallergenic(String petName);Have you been told that <b>$petName</b> needs a limited ingredient (hypoallergenic) diet?;¿Te han dicho si <b>$petName</b> necesita una dieta de ingredientes limitados (hipoalergénico)?
nutribotMessages;botMessages;;;askDullCoatOrDrySkin(String petName);Does <b>$petName</b> have dry skin and/or a dull coat?;¿$petName tiene la piel seca y / o el pelaje opaco?
nutribotMessages;botMessages;;;askHipJointsIssues(String petName);Does <b>$petName</b> have joint issues/arthritis?;¿<b>$petName</b> tiene problemas de articulaciones o artritis?
nutribotMessages;botMessages;;;askFoodSensitivity(String petName);Does <b>$petName</b> have sensitivities to any of these foods?;¿Sabes si <b>$petName</b> tiene alguna de las siguientes sensibilidades alimentarias?
nutribotMessages;botMessages;;;askPreferedFoodType(String petName);Lastly, do you prefer Canned or Dry food for <b>$petName</b>? (choose one of the options below);¿Prefieres alimentos enlatados o secos para <b>$petName</b>? (elige una de las siguientes opciones)
nutribotMessages;botMessages;;;askFeedback;Was my answer <b>helpful</b>?;¿Fue mi respuesta <b>útil</b>?
nutribotMessages;botMessages;;;unexpectedError;;
nutribotMessages;botMessages;;;responseNoFoodSensitivity(String petName);<b>$petName</b> does <b>not</b> have any food sensitivities;<b>$petName no</b> tiene ninguna sensibilidad alimentaria
nutribotMessages;botMessages;;;responseFoodSensitivity(String petName, String foodSensitivity);<b>$petName</b> has a sensitivity to <b>$foodSensitivity</b>;<b>$petName</b> tiene una sensibilidad a <b>$foodSensitivity</b>
nutribotMessages;botMessages;;;responseFoodSensitivities(String petName, String foodSensitivities, String lastFood);<b>$petName</b> has a sensitivity to <b>$foodSensitivities</b> and <b>$lastFood</b>;<b>$petName</b> tiene sensibilidad a <b>$foodSensitivities</b> y <b>$lastFood</b>
nutribotMessages;botMessages;;;resultsSummary(String petName);Ok, based on <b>$petName</b> (their age, size, etc.) and the answers you just gave us here, we’ve put together a couple of recommended diets for you to consider.;Vale, basado en <b>$petName</b> (su edad, tamaño, etc.) y las respuestas que nos acabas de dar aquí, hemos reunido un par de dietas recomendadas para que lo consideres.
nutribotMessages;botMessages;;;resultsWarning;Remember that <b>these results are not intended to replace professional veterinary advice.</b>;Recuerda que <b>estos resultados no están destinados a reemplazar el consejo veterinario profesional.</b>
nutribotMessages;botMessages;;;noFoodRecommended(String petName);We don’t have a recommendation based on what you’ve told us about <b>$petName</b>.\n\nThe Vet team provides complimentary advice to help you choose the best food options for <b>$petName</b>.\n\nClick below to get started.;No tenemos una recomendación basada en lo que nos has dicho sobre <b>$petName</b>.\n\nEl equipo brinda consejos gratuitos para ayudarte a elegir el mejor opciones de alimentos para <b>$petName</b>.\n\nHaz clic a continuación para comenzar.
nutribotMessages;botMessages;;;foodTopRecommended;Top Recommendation;Top Recomendado
nutribotMessages;botMessages;;;foodOtherOptions;Other options;Otras opciones
nutribotMessages;botMessages;;;foodTopRecommendedDescription(String productName);Based on what you have said, we would recommend <b>$productName</b>;Según lo que has dicho, te recomendaríamos <b>$productName</b>
nutribotMessages;botMessages;;;foodOtherOptionDescription(String productName);Another recommendation that fits your criteria for food is <b>$productName</b>;Otra recomendación que se ajusta a tus criterios para la comida es <b>$productName</b>
nutribotMessages;botMessages;;;foodTreatsDescription;Here are some recommended treats:;Aquí hay algunas golosinas recomendadas:
nutribotMessages;botMessages;;;feedbackPositive;<b>Great!</b> Come back any time you have a question about <b>your pet.</b>;<b>¡Genial!</b> Regresa cuando tengas una pregunta sobre <b>tu mascota</b>
nutribotMessages;botMessages;;;feedbackNegative;<b>Sorry to hear that.</b> Would you like to <b>speak with a vet</b> about this?;<b>Lamento escuchar eso.</b> ¿Te gustaría <b>hablar con un veterinario</b> sobre esto?
nutribotMessages;botMessages;;;helpNext;What would you like to do next?;¿Qué te gustaría hacer a continuación?
nutribotMessages;botMessages;;;channelChoice;Ok, how would you like to connect to a member of our team?;Vale, ¿cómo te gustaría conectarte con un miembro de nuestro equipo?
insuranceMessages;;;;barkibuInsurance;Barkibu Health Plans;Planes de Salud Barkibu
insuranceMessages;;;;currentPlan(String plan);Current Plan: <b>$plan</b>;Plan actual: <b>$plan</b>
insuranceMessages;;;;myPetInsurance;Your Plan;Tu Plan
insuranceMessages;;;;knowMoreAboutInsurance;Learn more about Barkibu Health Plans;Saber más sobre el Seguro Barkibu
insuranceMessages;;;;reimbursmentHeader;Claims;Solicitar reembolso
insuranceMessages;;;;reimbursmentSubtitle(String petName);Request reimbursement for <b>$petName</b>;Solicita el reembolso para <b>$petName</b>
insuranceMessages;;;;secondaryOption;Or you can also;O también puedes
insuranceMessages;;;;startClaim;Start a claim;Iniciar reclamo
insuranceMessages;;;;calculateInsurance;Calculate insurance quote;Calcular precio del seguro
insuranceMessages;;;;knowLabel;Learn about;Conoce
insuranceMessages;;;;barkibuHealthInsurance1;Barkibu;Barkibu Seguro
insuranceMessages;;;;barkibuHealthInsurance2;Pet Health Insurance;de Salud Animal
insuranceMessages;;;;barkibuInsuranceSubtitle1;Vet insurance of the future;El seguro veterinario del futuro
insuranceMessages;;;;barkibuInsuranceSubtitle2;simple, digital and with fast reimbursements;sencillo, digital y con reembolsos rápidos
insuranceMessages;;;;goToBarkibuInsurance;Go to Barkibu Insurance;Ir a Barkibu Seguro
insuranceMessages;;;;showHealthPlans;Show Health Plans;Ver Planes de Salud
authMessages;auth_home;;;presentation;Hi, I'm your pet health assistant;Hola, soy tu asistente de salud animal
authMessages;auth_home;;;welcome_title(String appName);Welcome to $appName;Bienvenido a $appName
authMessages;auth_home;;;welcome_subtitle(String appName);$appName will help you with any doubt or problem you may have about your pet’s health;$appName te ayudará con cualquier duda o problema sobre la salud de tus animales
authMessages;auth_home;;;sign_in;Sign in;Entrar
authMessages;auth_home;;;sign_in_hint(String brandName);If you already have an account with $brandName;Si ya tienes una cuenta en $brandName
authMessages;auth_home;;;sign_up;Sign up;Registrarse
authMessages;auth_home;;;sign_up_hint;If this is your first time with us;Si es tu primera vez aquí
authMessages;auth_home;;;help_question(String appName);How can $appName help me?;¿Cómo me puede ayudar $appName?
authMessages;sign_up;;;email_tab;Email;# MISSING: Email
authMessages;sign_up;;;phone_tab;Phone;# MISSING: Phone
authMessages;sign_up;;;sign_up;Sign up;Registro
authMessages;sign_up;;;create_account;Create your account;Crea tu cuenta
authMessages;sign_up;;;create_account_email_phone;Create an account using your email address or mobile number;# MISSING: Create an account using your email address or mobile number
authMessages;sign_up;;;name;Name;Nombre
authMessages;sign_up;;;name_hint;Enter your first name;Escribe tu nombre
authMessages;sign_up;;;name_error;Enter a valid name;Escribe un nombre válido
authMessages;sign_up;;;lastname;Last Name;Apellidos
authMessages;sign_up;;;lastname_hint;Enter your last name;Escribe tus apellidos
authMessages;sign_up;;;lastname_error;Enter a valid last name;Escribe un apellido válido
authMessages;sign_up;;;email;E-mail;Email
authMessages;sign_up;;;email_hint;Enter your e-mail address;Escribe tu email
authMessages;sign_up;;;email_error;Enter a valid e-mail address;Escribe un email válido
authMessages;sign_up;;;prefix;Country code;Código de país
authMessages;sign_up;;;phone_number_prefix;Phone number country code;Código de país
authMessages;sign_up;;;phone_number_prefix_hint;Enter your phone number country code;Escribe tu código de país
authMessages;sign_up;;;phone_number_prefix_error;Enter a valid phone number country code;Escribe un código de país válido
authMessages;sign_up;;;phone_number;Phone number;Teléfono
authMessages;sign_up;;;phone_number_hint;Enter your phone number;Escribe tu teléfono
authMessages;sign_up;;;phone_number_error;Enter a valid phone number;Escribe un teléfono válido
authMessages;sign_up;;;password;Password;Contraseña
authMessages;sign_up;;;password_hint;Enter your password;Escribe tu contraseña
authMessages;sign_up;;;password_error;Enter a valid password;Escribe una contraseña válida
authMessages;sign_up;;;confirm_password;Confirm;Confirmación
authMessages;sign_up;;;confirm_password_hint;Confirm your password;Confirma tu contraseña
authMessages;sign_up;;;confirm_password_error;Passwords doesn’t match;Las contraseñas no coinciden
authMessages;sign_up;;;accept_terms;Accept terms;Acepta los términos
authMessages;sign_up;;;accept_terms_error;You must accept our terms;Debes aceptar los términos
authMessages;sign_up;;;go_to_sign_in;Or Sign In if you already have an account;O entra si ya estás registrado
authMessages;sign_up;;;go_back;Return;Volver
authMessages;sign_up;;;launch_terms_and_conditions;Terms and Conditions;Términos y Condiciones
authMessages;sign_up;;;terms_and_condition_url;https://www.barkibu.com/en-us/legal-notice;https://www.barkibu.com/es/aviso-legal
authMessages;sign_up;;;invalid_phone_error;The phone number you entered is invalid;El teléfono introducido es inválido
authMessages;sign_up;;;incorrect_code_error;Code didn’t match;Los códigos no coinciden
authMessages;sign_up;;;code_not_sent_error;There was an error while sending verification code;Hubo un error al mandar el código
authMessages;sign_up;;;phone_not_verified_error;There was an error while verifying your phone number;Hubo un error al verificar el teléfono
authMessages;sign_up;;;phone_not_found;This phone number isn’t registered yet;Este número de teléfono todavía no está registrado
authMessages;sign_up;;;general_error;An error occured;Ha sucedido un error
authMessages;sign_up;;;code;Enter your code;Introduce tu código
authMessages;sign_up;;;code_hint;000 000;000 000
authMessages;sign_up;;;code_error;Enter a valid 6-digit code;Introduce un código de 6 dígitos válido
authMessages;sign_up;;;code_resend_hint;We sent an SMS to your Phone with a verification code. Didn’t receive it?;Te enviamos un SMS a tu teléfono con un código de verificación. ¿Lo recibiste?
authMessages;sign_up;;;code_resend_question;Didn't receive it?;¿No lo has recibido?
authMessages;sign_up;;;code_resend_action;Tap here to resend the code;Enviar nuevo código
authMessages;sign_up;;;phone_number_verification_message;We will use the phone number you provide to send you a verification SMS.;Usaremos el número que nos proporciones para mandarte un SMS de verificación.
authMessages;sign_up;;;code_resend_confirmation(String fullPhoneNumber);Your code was sent to $fullPhoneNumber;Te hemos enviado un código a $fullPhoneNumber
authMessages;sign_up;;;code_resend_problem;Still having trouble? Please;¿Tienes problemas? Ponte en
authMessages;sign_up;;;code_resend_contact_us;contact us;contacto con nosotros
authMessages;sign_in;;;log_in;Log in;Entrar
authMessages;sign_in;;;welcome_back;Welcome back!;Bienvenido
authMessages;sign_in;;;mail;E-mail;Email
authMessages;sign_in;;;mail_hint;Enter your e-mail;Escribe tu email
authMessages;sign_in;;;mail_error;Invalid e-mail;Email inválido
authMessages;sign_in;;;password;Password;Contraseña
authMessages;sign_in;;;password_hint;Enter your password;Introduce tu contraseña
authMessages;sign_in;;;password_error;Invalid password;Contraseña inválida
authMessages;sign_in;;;go_to_sign_up;Don’t have an account yet? Sign up here;Regístrate
authMessages;sign_in;;;credential_error;Email or password invalid;Email o contraseña inválidos
authMessages;sign_in;;;phone_number_verification_message;We will use the phone number you provide to send you a verification SMS.;Usaremos el número que nos proporciones para mandarte un SMS de verificación.
authMessages;password_recovery;;;passwordForgotten;Have you forgotten your password?;Olvidaste la contraseña
authMessages;password_recovery;;;title;Reset password;Resetea tu contraseña
authMessages;password_recovery;;;subtitle;Enter a new password;Escribe una nueva contraseña
authMessages;password_recovery;;;codeSentDescription(String email);We have emailed a reset code to your e-mail address: $email;Te hemos enviado un código de reseteo a tu dirección de email: $email
authMessages;password_recovery;;;inputEmail;E-mail;Email
authMessages;password_recovery;;;inputCode;Code Received in Email;Código recibido en el email
authMessages;password_recovery;;;inputNewPassword;New Password;Nueva contraseña
authMessages;password_recovery;;;inputConfirmNewPassword;Confirm New Password;Confirma la nueva contraseña
authMessages;password_recovery;;;buttonsSendEmail;Send reset email;Mandar email de restablecimiento
authMessages;password_recovery;;;buttonsResetPassword;Reset password & log in;Restablecer contraseña y log in
authMessages;password_recovery;;;buttonsResendCode;Not received anything? Resend code;¿No recibiste nada? Te volvemos a mandar el código
authMessages;password_recovery;;;alertsSuccess;The email has been sent correctly;El email se ha mandado correctamente
